当前价-0,成交总量-1,成交总额-2,持仓量-3,昨结算-4,成交笔数-5,市盈率1-6,开盘价-8,最高价-9,时间戳-G,最低价-a,今结算-b,前收盘-c,多档委买价-d,多档委买量-e,多档委卖价-f,多档委卖量-g,,
8.72,590549,516873106,0,0,0,6.71,8.85,8.9, 2018-07-16 14:08:57,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8103, 12685, 12553, 9279, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 475, 3234, 1489, 1540, 2363",59054900,8.752416921
8.72,590585,516904497,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:00,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8092, 12683, 12553, 9379, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 440, 3234, 1489, 1540, 2363",59058500,8.752414928
8.71,590612,516928021,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:03,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8072, 12683, 12569, 9374, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 444, 3234, 1489, 1540, 2363",59061200,8.752413107
8.71,590634,516947188,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:06,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8056, 12683, 12567, 9374, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 439, 3234, 1489, 1540, 2363",59063400,8.752411612
8.71,590635,516948059,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:09,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8065, 12693, 12584, 9374, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 439, 3234, 1489, 1540, 2363",59063500,8.75241154
8.71,590655,516965493,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:12,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8059, 12703, 12584, 9374, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 425, 3234, 1489, 1540, 2363",59065500,8.752410341
8.71,590657,516967235,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:15,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8182, 12713, 12584, 9374, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 425, 3234, 1489, 1540, 2363",59065700,8.752410197
8.71,590977,517245955,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:18,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7862, 12703, 12584, 9374, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 425, 3234, 1489, 1540, 2363",59097700,8.752387233
8.71,590997,517263383,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:21,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7850, 14064, 12587, 9368, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 417, 3234, 1489, 1540, 2363",59099700,8.752385934
8.71,591009,517273845,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:24,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7915, 14064, 12587, 9368, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 407, 3234, 1489, 1540, 2363",59100900,8.752385243
8.71,591025,517287781,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:27,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7899, 13858, 12587, 9368, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 407, 3234, 1489, 1540, 2363",59102500,8.752384095
8.71,591127,517376640,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:30,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7829, 13848, 12587, 9368, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 390, 3183, 1489, 1540, 2363",59112700,8.75237707
8.71,591143,517390586,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:33,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7843, 13868, 12587, 9368, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 382, 3183, 1439, 1540, 2363",59114300,8.752376092
8.72,591163,517408026,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:36,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7843, 13868, 12587, 9368, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 363, 3183, 1439, 1540, 2363",59116300,8.752374996
8.71,591164,517408897,0,0,0,6.7,8.85,8.9, 2018-07-16 14:09:39,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7842, 13868, 12587, 9392, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 363, 3183, 1439, 1540, 2363",59116400,8.752374925
8.72,591166,517410641,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:42,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7842, 13868, 12587, 9392, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 361, 3183, 1439, 1540, 2363",59116600,8.752374815
